"","RMSE","R2","Avg.Bias","Max.Bias","Skill"
"RMSE0",6.26715091303483,6.26715091303483,6.26715091303483,6.26715091303483,6.26715091303483
"WA.inv",3.59694027296618,0.670598063796933,2.32808421903019e-15,10.3769864997515,67.0598063796933
"WA.cla",4.39240198214205,0.670598063796933,2.17194962682902e-15,6.27762134208861,50.8793785747024
"WA.inv.tol",3.40415727422773,0.704961339371527,6.30500888293144e-16,10.226764702149,70.4961339371528
"WA.cla.tol",4.05440348269433,0.704961339371527,-3.80714926797369e-16,5.9831370610812,58.148249535003
"WA.inv.1",3.75386198188013,0.641491288547843,0.010891927276192,11.1198919055657,64.122985469754
"WA.cla.1",4.54500975124227,0.648073034621887,0.0125123976782885,6.51509179352713,47.4068318020443
"WA.inv.tol.1",3.59145302199082,0.671850656282252,0.0422909352782239,10.8524544522624,67.1602324223721
"WA.cla.tol.1",4.22043358203045,0.677586281197428,0.0603834490042146,6.27259341256219,54.650360939075
