"","WA.inv","WA.cla","WA.inv.tol","WA.cla.tol","depth","type","min","mean","max"
"1",-2.93071442757879,-2.9300250260514,-2.67685879277742,-2.67330716093339,1,"zscores",1.485960978,1.613893858,1.761408391
"2",-1.36746537266257,-1.36709236003961,-1.48297470612492,-1.48379610480738,2,"zscores",3.440265799,3.68564934,3.967171917
"3",-0.594883989750226,-0.595672740878804,-0.64109196038079,-0.64316887297969,3,"zscores",7.29619606,7.700077473,8.127073395
"4",0.15529440628782,0.154340530486612,-0.0376395029554286,-0.039911172700012,4,"zscores",12.32959952,12.89939196,13.49719552
"5",-0.138732707772207,-0.138438463722711,0.0124875983834735,0.0121893391512464,5,"zscores",17.35190799,18.04299877,18.82304097
"6",-0.0109190991537063,-0.011953428394986,-0.118658025157174,-0.120248432343663,6,"zscores",22.40315523,23.16728573,24.08265253
"7",0.111839357675595,0.112284507794329,-0.10929808954943,-0.109256246821678,7,"zscores",29.47829244,30.44770071,31.64535409
"8",0.303301534241166,0.302201862614019,0.0706378718624105,0.0701926147920395,8,"zscores",35.65455279,36.84007713,38.25889791
"9",0.708669842352914,0.708950800844801,0.903678238339921,0.903855605322333,9,"zscores",44.74109043,46.14444267,47.79000214
"10",0.582026115973206,0.581720300551193,0.778564538780372,0.777879635502528,10,"zscores",52.0240808,53.61946911,55.536296
"11",0.362726310691859,0.362169779512504,0.22491744952417,0.223408171116051,11,"zscores",55.86058192,57.67572546,59.93591145
"12",0.510819785293528,0.509276996943637,0.311122633632392,0.309666796986366,12,"zscores",69.27239569,71.568931,74.27707473
"13",0.635311985046724,0.635449551124465,0.706647916841384,0.705856339127235,13,"zscores",76.7835829,79.72454977,82.97218453
"14",0.797764109144051,0.799802531898315,0.987677121103814,0.991740496992178,14,"zscores",79.28550435,82.34026242,85.80166627
"15",0.874962150210639,0.876985157317628,1.07078770847722,1.07489899159584,15,"zscores",86.61497212,90.26129747,94.46879143
