"","WA.inv","WA.cla","WA.inv.tol","WA.cla.tol","depth","type","min","mean","max"
"1",3.80765251221999,4.56461121152217,3.70251306989154,4.33642380098748,1,"error",1.485960978,1.613893858,1.761408391
"2",3.95046391630882,4.74802013225303,3.75482962780442,4.36018074990177,2,"error",3.440265799,3.68564934,3.967171917
"3",4.11220671132333,4.92774570098362,3.88072233806201,4.50795347492894,3,"error",7.29619606,7.700077473,8.127073395
"4",4.31893089083799,5.19105068687825,4.02176525045449,4.71513725833975,4,"error",12.32959952,12.89939196,13.49719552
"5",4.25987387866689,5.16279520538625,4.06407480060289,4.8338430147028,5,"error",17.35190799,18.04299877,18.82304097
"6",4.29370410802069,5.16557967341625,3.99103941919006,4.68340524864026,6,"error",22.40315523,23.16728573,24.08265253
"7",4.36261378379339,5.31760847341201,3.97936088380832,4.7142694576993,7,"error",29.47829244,30.44770071,31.64535409
"8",4.38197269543634,5.27555949221509,4.5243055827464,5.55401218838461,8,"error",35.65455279,36.84007713,38.25889791
"9",4.53557881502852,5.53177358633903,4.46599812945084,5.47700495176326,9,"error",44.74109043,46.14444267,47.79000214
"10",4.4699383162559,5.41458454472092,4.38241176943266,5.31814925985424,10,"error",52.0240808,53.61946911,55.536296
"11",4.4046265377479,5.32507748451071,4.09826834636576,4.85283403777042,11,"error",55.86058192,57.67572546,59.93591145
"12",4.42683501605177,5.31188586456043,4.6075941593559,5.6529825596048,12,"error",69.27239569,71.568931,74.27707473
"13",4.5245741083271,5.51907002576763,4.40279890694825,5.34824031499724,13,"error",76.7835829,79.72454977,82.97218453
"14",4.68139657043335,5.82990889636799,4.60663746928823,5.82138103798149,14,"error",79.28550435,82.34026242,85.80166627
"15",4.71494619067571,5.87655452396254,4.68137191712783,5.93865102615956,15,"error",86.61497212,90.26129747,94.46879143
