"REFERENCE","SAMPLE.CODE","SITE.NAME","country","WTD","pH","lat","lon","ALA.MIL","AMP.WRI","ARC.ART","ARC.CAT","ARC.DIS","ARC.GIB","ARC.HEM","ARC.VUL","ARC.FLA","ARG.DEN","ASS.MUS","ASS.SEM","BUL.IND","CEN.ACU","CEN.CAS","CEN.ECO","CEN.PLA","CON.PON","COR.TRI","CRY.OVI","CRY.SAC","CYC.ARC","CYP.AMP","DIF.ACU","DIF.BAC","DIF.GLO","DIF.LEI","DIF.LUC","DIF.OBL","DIF.OVI","DIF.PRI","DIF.PUL","DIF.RUB","DIF.URC","EUG.CIL","EUG.ROT","EUG.STR","EUG.TUB","GIB.TUB","HEL.PET","HEL.ROS","HEL.SPH","HEL.SYL","HYA.ELE","HYA.MIN","HYA.PAP","HYA.SUB","LES.EPI","LES.SPI","NEB.BAR","NEB.COL","NEB.FLA","NEB.MIN","NEB.PEN","NEB.TIN","PAD.LAG","PAD.WAI","PAR.IRR","PHR.ACR","PHY.GRI","PLAGIO","PLA.SPI","PLA.CAR","PLA.MAR","PSE.FAS","PSE.FUL","PYXI","QUA.SYM","SPH.LEN","TRA.DEN","TRI.ARC","WAI.EBO"
"Roe et al 2017","MER49","Mer Bleue","Canada",30,3.47,45.402,-75.486,3.7,0,0,3.1,0,0,0,0,0,0,41.7,6.1,1.2,7.4,0,0,0,0,0.6,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,5.5,4.9,0,0,0,1.2,2.5,7.4,0,0.6,2.5,0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0
"Roe et al 2017","MIR9","Mirabel","Canada",30,4.02,45.685,-74.045,7.9,0,0,0,0,0,0,0,0,0,11.3,0.7,0,1.3,7.9,0,0,0,15.9,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0.7,0,0,0,0.7,0,0,0,0,12.6,0,0,0,0.7,0,0.7,0,1.3,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,4.6,0
"Charman and Warner 1992","8C11","Wally Creek","Canada",30,4.35,49.076,-80.537,17.8,0,0,2,0,0,0,0,0,0,5,0,1,0,3,0,0,0,10.9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,22.8,0,0,0,2,0,0,2,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Charman and Warner 1992","8C26","Wally Creek","Canada",30,4.77,49.076,-80.537,20,0,5,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,7,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,5,0,0,0,0,0,1,0,0,0,16,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Charman and Warner 1992","1132","Wally Creek","Canada",30,4.1,49.076,-80.537,20.8,0,4,3,0,0,0,0,0,0,10.9,3,1,0,0,0,0,0,29.7,0,3,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Charman and Warner 1992","12C210","Wally Creek","Canada",30,3.9,49.076,-80.537,27.5,0,0,4.9,0,0,0,0,0,0,10.8,2.9,2,0,2,0,0,0,9.8,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,2.9,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0
"Charman and Warner 1992","14C22","Wally Creek","Canada",30,4.36,49.076,-80.537,18.6,0,0,0,0,0,0,0,6.9,0,11.8,0,1,0,0,0,0,0,4.9,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,10.8,0,13.7,0,0,0,0,7.8,0,0,10.8,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","EL07","Ely","United States of America",30.5,3.47,47.446,-92.436,4.8,0,0,1.4,0,0,0,0,0,0,4.8,8.3,0.7,1.4,0,6.9,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2.1,4.8,24.8,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,18.6,0
"Booth 2008","HO15","Hornet","United States of America",30.5,3.76,46.077,-92.12,1.3,0,0,0.6,0,0,0,0,0,0,25.3,4.5,0,5.8,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0.6,23.4,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,7.8,0
"Booth 2008","MI16","Minden","United States of America",30.5,3.55,43.61,-82.836,0,0,0,0,0,0,0,0,0,0,90.3,0.6,3.9,0,0.6,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","PE11","Peacham","United States of America",30.5,3.55,44.292,-72.873,0,0,0,10.9,0,0,0,0,0,0,19.5,4.7,1.6,8.6,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0
"Booth 2008","SG25","Spring Pond","United States of America",30.5,3.5,44.368,-74.499,13,0,0,1.2,0,0,0,0,0,0,20.1,2.4,1.8,4.1,8.3,2.4,0,0,3.6,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0.6,1.2,6.5,0,0,0,1.8,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Booth 2008","SP06","Spruce","United States of America",30.5,3.74,46.095,-92.112,0,0,0,2.6,0,0,0,0,0.7,0,23.7,8.6,0.7,0.7,1.3,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,13.8,5.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0
"Payne et al 2006","BB24","Bicentennial Park","United States of America",30.5,4.5,61.16,-149.743,0,0,1.4,0,0,0,0,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,41.4,0,0,0,0,0,0,0,0,0,0,0,0,27.4,0,0,4.2,0,0,0,0,0,0,0,0,0,0
"Lamarre et al 2013","Manic_11","Manic","Canada",30.5,NA,49.123,-68.292,5.6,0,0,0,0,0,0,0,9.9,0,15.5,1.2,1.2,0.6,0,0,0,0,3.7,34.8,0,6.8,0,0,0,0,0,0,0,0,1.2,0.6,0,0,0,1.2,0,3.7,0,0,0,0,4.3,2.5,0,1.9,1.9,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0
"Booth 2008","TL21","Trout A","United States of America",30.8,3.58,46.004,-89.594,0,0,0,0,0,0,0,0,0,0,57.1,3.2,0,0.8,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0
"Booth 2008","TL33","Trout I","United States of America",30.8,3.52,46.004,-89.594,0,0,0.3,1,0,0,0,0,7.3,0,35.6,9.2,1.7,0.7,0.3,4.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2.6,0.7,0,0.3,24.8,0,0,0,0,0,0,0,0,4,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1.3,0
"Booth 2002","NRB4","North Rhody","United States of America",31,3.9,46.583,-86.073,0,0,0,2.4,12.7,0,0,0,0,0,2.4,0,0,1.2,0,0,0,0,0.4,0,0,0.4,0,0.8,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,14.7,0,0,0,0,2.4,0,0,0,0.8,0,0,0,59,1.6,0,0,0,0,0,0,0,0,0,0,0.4,0
"Booth 2008","AT11","Adams Trail","United States of America",31,3.83,46.547,-86.06,1.6,0,0,0,0,0,0,0,2.4,0,60.8,0,6.4,0.8,1.6,0.8,0,0,4.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,4,0,0,0,0.8,0.8,0.8,0,0,2.4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0
"Booth 2008","UT02","Upper Twin","United States of America",31,3.96,46.276,-86.647,0,0,0,0,0,0,0,0,0,0,23.2,1.3,0.6,1.9,16.8,0,0,0,2.6,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3.2,17.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
"Markel et al. 2010","AK2","Marathon B","United States of America",31,4.04,60.603,-151.211,6,0,0,0,0,0,0,0,0,0,27.3,0,2.7,0,0,0,0,0,12.7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,1.3,12.7,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0
"Clifford (unpublished)","FC11-3","Fish Creek",NA,31,4.03,58.336,-134.554,0,0,0,1.9,0,0,0,0,0,0,28.2,0,0,1.9,0,1,0,0,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0,1.9,0,3.9,0,0,1,37.9,0,0,0,0,0,0,0,0,10.7,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,1,0
"Payne et al 2006","BB29","Bicentennial Park","United States of America",31,NA,61.16,-149.743,0,0,0,0,0,0,0,0,47,0,4,0,0,0,0,0,0,0,1.2,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1.2,0,0,0,0,0,0,0.8,0,23.5,0,0,0,0,0,0,0,0,1.6,0,0,0,0.4,0,0,7.2,0,0,0,0,0,0,0,0,0,0
"Payne et al 2006","TL02","Sheep Creek","United States of America",31,4.3,62.003,-150.055,0,0.6,3.7,0,0,0,0,0,9.3,0,6.2,3.7,0,1.9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,23,0.6,0,0,6.2,0,34.8,0,0,0,0,0,0,0,0,1.2,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.9,0
"Amesbury et al 2013; Charman and Warner 1997","1","Ocean Pond","Canada",31,4.93,47.427,-53.438,21,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,0,1,4,0,0,0,0,15,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"Amesbury et al 2013; Charman and Warner 1997","6","Sam's River","Canada",31,4.79,46.731,-53.519,2.9,0,0,0,0,0,0,0,6.9,0,5.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,72.5,1,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamarre et al 2013","Baie_M_6","Baie-M",NA,31,NA,49.093,-68.243,4,0,0,0,0,0,0,0,0,0,20,2,0,0,2,0,0,0,13.3,4.7,0,2.7,0,0,0,0,0,0,0,0,8,4,0,0,0,1.3,0,17.3,0,0,0,0,8,0,0,0,2.7,0,0,0,0,0.7,0,0,0,0,0.7,0,0.7,0,0,0.7,0,0,0,2.7,0,0,0,0,4.7,0
"Roe et al 2017","MIR39","Mirabel","Canada",31,2.56,45.685,-74.045,0,0,0,0,0,0,0,0,0,0,57.4,0.6,0,0,0,0,0,0,4.7,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1.2,1.2,0,0,0,0,1.2,0,0,0,21.9,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
"Charman and Warner 1992","823","Wally Creek","Canada",31,4.57,49.076,-80.537,5.9,0,0,0,0,0,0,0,0,0,27.7,0,0,0,3,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7.9,0,0,0,18.8,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Charman and Warner 1992","848","Wally Creek","Canada",31,4.7,49.076,-80.537,20.2,0,1,0,0,0,0,0,1,0,7.1,3,0,0,3,0,0,0,8.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.1,0,1,1,0,0,0,0,0,1,0,0,0,27.3,0,0,1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Charman and Warner 1992","1119","Wally Creek","Canada",31,4.36,49.076,-80.537,0,0,0,0,0,0,0,0,0,0,19,2,13,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,17,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Sullivan and Booth 2011","TA26","Tannersville","United States of America",31.5,4.64,41.037,-75.266,9.9,0,0,0.7,0.7,0,0,0,0,0,11.3,0,0,10.6,2,0.7,0,0,2,0.7,0,5.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0.7,9.9,0,0,2,4.6,0,0,0,0,2,2.6,0,0,0,0,17.9,0,0,11.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.3,0
"Payne et al 2006","BB30","Bicentennial Park","United States of America",31.5,4.7,61.16,-149.743,0,0,0.9,0,0,0,0,0,30.9,0,12,0,0,0.5,0,0,0,0,0.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,40.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.4,0,0,0,0,0,0,0,0.5,0,0
"Payne et al 2006","BB33","Bicentennial Park","United States of America",31.5,4.7,61.16,-149.743,0,0,1,0,0,0,0,0,45.6,0,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,7.8,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,11.7,0,0,0,0,0,0,0,0,1,0
"Lamarre et al 2013","Lebel_9","Lebel-G",NA,31.5,4.04,49.101,-68.219,16.6,0,0,0,0,0,0,0,0,0,24.2,0,0,0.6,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,1.9,0,0,0,0,1.3,0,0,0,15.3,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3.2,0
"Booth 2008","TL54","Trout E","United States of America",31.8,3.63,46.004,-89.594,0.3,0,0.6,0.3,0,0,0,0,3.4,0,42.4,5,0.3,0.3,2.5,0.6,0,0,10,6.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,8.4,0,0,0,1.2,0.3,0.3,0,2.2,0,0,0,0,0,0,0,0,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,4.7,0
"Booth 2008","TL85","Trout H","United States of America",31.8,3.67,46.004,-89.594,0.3,0,0.3,11.3,0.3,0,0,0,0.9,0,37.1,6,3.8,1.3,0.3,1.9,0,0,1.3,3.8,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,3.1,0,0,0,0,0.3,0,0.3,23.9,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
