"REFERENCE","SAMPLE.CODE","SITE.NAME","country","WTD","pH","lat","lon","ALA.MIL","AMP.WRI","ARC.ART","ARC.CAT","ARC.DIS","ARC.GIB","ARC.HEM","ARC.VUL","ARC.FLA","ARG.DEN","ASS.MUS","ASS.SEM","BUL.IND","CEN.ACU","CEN.CAS","CEN.ECO","CEN.PLA","CON.PON","COR.TRI","CRY.OVI","CRY.SAC","CYC.ARC","CYP.AMP","DIF.ACU","DIF.BAC","DIF.GLO","DIF.LEI","DIF.LUC","DIF.OBL","DIF.OVI","DIF.PRI","DIF.PUL","DIF.RUB","DIF.URC","EUG.CIL","EUG.ROT","EUG.STR","EUG.TUB","GIB.TUB","HEL.PET","HEL.ROS","HEL.SPH","HEL.SYL","HYA.ELE","HYA.MIN","HYA.PAP","HYA.SUB","LES.EPI","LES.SPI","NEB.BAR","NEB.COL","NEB.FLA","NEB.MIN","NEB.PEN","NEB.TIN","PAD.LAG","PAD.WAI","PAR.IRR","PHR.ACR","PHY.GRI","PLAGIO","PLA.SPI","PLA.CAR","PLA.MAR","PSE.FAS","PSE.FUL","PYXI","QUA.SYM","SPH.LEN","TRA.DEN","TRI.ARC","WAI.EBO"
"Booth 2001","832bda","Grand Traverse Bay","United States of America",-37,5.5,47.166,-88.255,0,0,0,0,0,0,0,0,0,0,0.8,0,0,6.5,32.3,0,0,0,0,0,0,0.8,0,0,0,23.4,0,23.4,0.8,0,0,0,0.8,0,0,0,0,0.8,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"Booth 2002","1020B","Au Train Bay","United States of America",-27,5.6,46.548,-86.059,0,0,0,0,4.4,0,5.9,11.8,0,0,0,0,0,13.2,17.6,0,1.5,0,0,0,0,0,0,1.5,0,30.9,0,0,2.9,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,1.5,0,0,0,0,0,0
"Booth 2001","968ada","Tahquamenon Bay","United States of America",-26,6.6,46.475,-84.995,0,0,0,0,4.9,0,0,3.9,0,0,3.9,0,0,26.2,22.3,0,0,0,1,0,0,20.4,0,0,0,2.9,0,2.9,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2001","832ada","Grand Traverse Bay","United States of America",-21,5.3,47.166,-88.255,0,0,0,0,6.4,0,0,2,0,0,0,0,0,4,23.8,0,0,0,0,0,0,2,0,0,0,26.2,0,26.2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Booth 2001","967ada","Tahquamenon Bay","United States of America",-21,6.1,46.475,-84.995,0,0,0,0,0.9,0,0,2.8,0,0,1.9,0,0,35.2,38.9,0,0,0,0,0,0,6.5,0,0,0,1.9,0,1.9,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK48","Gas field","United States of America",-18,6.16,60.445,-151.246,0,0,0,2.7,0,0,0,4.1,2.7,0,0,0,0,6.8,20.3,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,0,0,0,6.8,0,0
"Markel et al. 2010","AK93","Brown's Lake","United States of America",-17,5.87,60.471,-150.728,0,2.8,0,0.7,0,0,0,0,2.8,5.6,8.3,0,0,2.1,0.7,0,0,0,41.7,10.4,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,2.1,0,1.4,0.7,0,0,0,2.1,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1.4,0.7,2.8,0,2.1,0,4.2,2.8,2.1,0,0
"Markel et al. 2010","AK84","Brown's Lake","United States of America",-16.5,6.24,60.471,-150.728,0,0,0,0,0,0,3.6,0,0,0.9,0,0,0,4.5,9.1,2.7,0,0,40.9,3.6,0,2.7,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0,6.4,2.7,6.4,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,1.8,0,0,0,6.4,0,0
"Sullivan and Booth 2011","TA28","Tannersville","United States of America",-16.5,4.63,41.037,-75.266,17.8,0,0,0,23.3,0,0,0,0,0,4.8,0,0,1.4,0,0,0,0,1.4,0,0,17.1,0,0,0,0,0,0,0,0,1.4,0.7,0,0,0,1.4,0.7,0,0,0.7,0,0,0.7,11.6,0,0,10.3,0,0,0,0,0,0,0,1.4,0,0,0,0.7,2.7,0,0,0,0,0,2.1,0,0,0,0,0,0
"Booth 2001","965ada","Tahquamenon Bay","United States of America",-15,6.9,46.475,-84.995,0,0,0,0,0,0,0,2,0,0.7,0.7,0,0,52.3,9.3,0,0,0,0.7,0,0,9.3,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0,5.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,9.3,0,0,0
"Booth 2002","PBS11","Partridge Lake","United States of America",-15,5.4,47.42,-88.008,0,0,0,1,0,0,1,3.1,1,0,2,1,0,57.1,1,0,0,0,0,0,0,0,0,2,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Clifford (unpublished)","PL11-12","Point Lena",NA,-15,4,58.386,-134.746,0,23,0,0,0,0,0,0,14,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,36,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0
"Booth 2001","966ada","Tahquamenon Bay","United States of America",-14,6.4,46.475,-84.995,0,0,0,0,0,0,0,8.7,0,1,0,0,0,35.6,12.5,0,0,0,3.8,0,0,1,0,0,0,1,0,1.9,1.9,0,0,0,0,0,0,0,17.3,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0
"Booth 2002","IB20W55:1.3","Independence","United States of America",-14,3.9,47.419,-88.01,0,0,0,0,0.4,0,0.4,0.4,0,0,2.8,0,0,0.4,2.8,0,0,0,0,0,0,0,0,2.4,0,21.2,0.4,0,0,54.4,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.8,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK91","Brown's Lake","United States of America",-14,5.91,60.471,-150.728,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.8,2.3,0,0,0,79.7,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1.5,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0
"Clifford (unpublished)","PL11-8","Point Lena",NA,-14,3.87,58.386,-134.746,0,10,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,42,2,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"Clifford (unpublished)","FC11-6","Fish Creek",NA,-13,4.25,58.336,-134.554,3,14,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,4,0,4,2,0,0,2,16,0,5,0,0,23,0,0,0,0,0,6,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Clifford (unpublished)","PB11-2","Point Bridget","United States of America",-13,4.16,58.647,-134.934,0,23,0,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,1,0,0,2,0,0,6,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK80","Gate Creek","United States of America",-12.5,4.01,62.333,-150.545,0.7,8,0.7,0,0,0,0,0.7,61.3,0,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.7,0,0,0,1.3,0,13.3,1.3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1.3,0,0,0,0.7,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK38","Funny River","United States of America",-12,5.61,60.415,-150.901,0,0,0,3.6,0,2.9,6.5,1.4,0,0,0,0,0,4.3,0.7,0,1.4,0,37.4,0.7,0,0.7,1.4,0,0,0,0,0.7,0,0,0,0,0,0,0,2.9,0.7,20.9,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,4.3,0,0,0.7,4.3,0,0
"Finkelstein/Bunbury unpublished","M20","Attawapiskat River 1","Canada",-12,5.91,52.845,-83.927,0.9,0,0,0,0,0,0,0,0,0,9.3,0,0,11.1,13,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0.9,4.6,0,0,0,1.9,0,0,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,45.4,0,0,0,0,0,0.9,0,0,0,0,0,0,0
"Roe et al 2017","MER41","Mer Bleue","Canada",-12,3.96,45.402,-75.486,0.6,0,0,1.1,16.5,0,0,0,0,0,8.5,0,1.1,18.8,0,0,0,0,0.6,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.1,1.7,0,0,0,0.6,0.6,6.3,0,14.2,5.7,0,0,1.1,0.6,0,2.8,0.6,4,0,0,0,0,2.3,0,0,5.7,0,0.6,0,0,0,0,0,1.7,0
"Booth 2002","IBCL74:12","Independence","United States of America",-11,4.3,47.419,-88.01,0,3.2,0,0,0.4,0,0,1.2,0,0,4.8,0,0,0,3.2,0,0,0,0,0,0,0,0,1.2,0,45.2,0,0,0,23.8,0,0,0,0.8,0,0,0,0,0,0.4,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0
"Booth et al 2008","p37","Catfish Pocosin","United States of America",-11,3.87,34.919,-77.088,0,0,0,0,64.2,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3.3,0.7,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Markel et al. 2010","AK89","Brown's Lake","United States of America",-11,6.21,60.471,-150.728,0,0,0,0,0,1.6,3.2,2.4,0,0,0.8,0.8,0,2.4,12,0,1.6,0,35.2,1.6,0,2.4,0,0,0,0,0,2.4,0,0,2.4,0,0.8,0,0,7.2,3.2,12,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,1.6,0,0,0,0,0.8,1.6,0,0,0
"Roe et al 2017","MER44","Mer Bleue","Canada",-11,3.92,45.402,-75.486,0,0,0,0,24.5,0,0,0,0,0,7,1.4,0,0.7,0,0,0.7,0,4.9,0,0,1.4,0,0,0.7,0,1.4,0,0,0,0,0,0,0,0,1.4,8.4,2.8,0,0,0,0,2.1,2.8,0,2.8,18.2,0,0,0,0,0,0.7,0,1.4,0,0,0,0,11.2,0,0,4.9,0,0,0,0,0,0,0,0.7,0
"Markel et al. 2010","AK83","Brown's Lake","United States of America",-9.5,5.9,60.471,-150.728,0,0,0,0,0,0,0,0,16.7,2,3.3,0,0,0,0,0,0,0,20.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,2,0,0,1.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0
"Booth 2002","IB20W55:17.6","Independence","United States of America",-9,4.2,47.419,-88.01,0,0.4,0,0,0,0,0,1.2,0.4,0,4,0,0,0,9.6,0,0.4,0,0,0,0,0,0,2.4,0,39.6,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK78","Gate Creek","United States of America",-9,3.97,62.333,-150.545,0.7,0,0.7,1.3,0,0,0,0,2,0,6,0,0,0.7,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,8.7,0,28,0,36,0,0,0,0,0,0,0,0,9.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.7,0
"Booth 2008","SS05","Small Sarracennia","United States of America",-8.7,4.23,46.093,-92.115,0,4.9,0,0,1.6,0,0,0,2.4,0,0,1.6,0,0,0,0.8,0,0,0,0,0,0,0,0,6.5,21.1,0,0.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0,1.6,0,13,0,0,0,0,4.1,0,0,0,0,0,0,0,13,0,0,0.8,1.6,0,0,0,0,0,0,0,0.8,0
"Markel et al. 2010","BLPURED4","Brown's Lake","United States of America",-8.6,4.41,60.471,-150.728,0,0,0,0,0,0,0,0,27.2,0,1.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,9.9,0,35.2,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK90","Brown's Lake","United States of America",-8.5,6.1,60.471,-150.728,0,0,0,0.8,0,0,2.3,1.5,3.1,0,6.1,0,0,3.8,16.8,0,0.8,0,36.6,3.8,0,0,0,0,0,6.9,0,1.5,0,0,4.6,0,0,0,0,0.8,0,5.3,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
"Booth 2008","SS07","Small Sarracennia","United States of America",-8.2,4.41,46.093,-92.115,0,0,0,0,0,0,1.8,1.8,0.9,0,10.1,0,0,6.4,0,0,0,0,0,0,0,0,0,0,1.8,48.6,0,0.9,6.4,0,0,0,0,0,0,0,0.9,0,0,5.5,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,7.3,0,0,0,0,0,0,0,0,0
"Booth 2001","831b","Grand Traverse Bay","United States of America",-8,5.2,47.166,-88.255,0,0,0,0,0,0,0,43.9,0,0,13.4,0,0,0,11,0,0,0,0,0,0,7.3,0,0,0,7.3,0,7.3,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0
"Booth 2001","833ada","Grand Traverse Bay","United States of America",-8,5.9,47.166,-88.255,0,0,0,0,4.5,0,0,38.8,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0.7,0,0.7,0,25.4,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
"Booth 2002","IBCL124:15","Independence","United States of America",-8,4.3,47.419,-88.01,0,0,0,0,0,0,0,1.1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,54.3,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0
"Booth et al 2008","p29","Catfish Pocosin","United States of America",-8,4.66,34.919,-77.088,0,0,0,0,4.6,0,0,2,0,0,0,0,0,58.3,0,0,0,0,0,0,0,6.6,0,7.3,0.7,0,0,0,0,0,0,0,11.9,0,0,0.7,2,0,0,0,0,0,0,0,0,0,1.3,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK94","Brown's Lake","United States of America",-8,6.36,60.471,-150.728,0,0,0,0,0,2.9,0,3.8,0,1.9,1,0,0,0,10.6,0,0,0,50,1.9,0,0,0,1.9,0,1,0,0,0,0,1,0,0,0,0,11.5,1,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.9,0,0,0
"Amesbury et al 2013; Lamarre et al 2013","A1","Lebel","Canada",-8,3.7,49.123,-68.292,0,29.3,0,0,0,0,0,0,2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.7,0,0,0.7,18,1.3,0,0,0,0,0,0,0,0,9.3,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,7.3,0,0,0,0,0,0,0,0,0
"Finkelstein/Bunbury unpublished","M25","Attawapiskat River 1","Canada",-8,6.02,52.845,-83.927,0,0,0,1.7,0,0,0,0,1.7,0,0,0,0,16.8,20.2,5,0,0,0.8,0,0,1.7,0,0,0,0,0,0,5,0,2.5,0.8,0,0,0,1.7,0,3.4,0,0,0,0.8,0,0,0,0,0,0,1.7,0,2.5,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,10.1,0,0,0,0,0
"Finkelstein/Bunbury unpublished","M40","Sutton River 3","Canada",-8,4.44,54.61,-84.609,5,0,0,0,0,0,0,0,26.7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,27.7,2,10.9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,12.9,0,0,0,0,0,0
"Markel et al. 2010","AK88","Brown's Lake","United States of America",-7.5,6.3,60.471,-150.728,0,0,0,0,0,0,0,0,0,2.1,2.8,0,0,0,1.4,0,0,0,67.4,1.4,0,0.7,0,0,0,0,0,0,0,0,0,2.1,0.7,0,0,8.5,3.5,3.5,0,0,1.4,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0.7,0.7,0,0
"Markel et al. 2010","GF0-5","Gas field","United States of America",-7.5,4.4,60.445,-151.246,0,13.2,1.3,0,0,0,0,0,2.6,0,21.2,0,0,6,0.7,0.7,0,0,0.7,2,0,0,0,0,0,27.8,0,0,0.7,0,0,0.7,0,0,0,0,0,6.6,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,2,2,0.7,0,0,0,0,0,0,2.6,0
"Markel et al. 2010","GF5-10","Gas field","United States of America",-7.5,4.27,60.445,-151.246,0,0.6,0,0,0,0,0,0,3.2,0,13.5,6.5,0.6,7.1,3.9,0,0,0,0,0,0,0,0,0,0,25.2,0,0,2.6,0,0,0,0,0,0,0.6,0.6,3.2,0,0,0.6,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,1.3,21.3,0,5.8,0,0,0,0,0,0,0,0,0,0
"Booth 2008","NR02","North Rhody","United States of America",-7.2,4.47,46.583,-86.073,0,0,0.6,0.6,0.6,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,15.6,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2002","IB20E68:24","Independence","United States of America",-7,4,47.419,-88.01,0,0,0,0,0.7,0,2.7,1.4,0,0,2,0,0,0,3.4,0,0,0,0,0,0,0,0,2,0,55.1,0,0,0.7,13.6,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
"Booth 2002","IBCL47:20","Independence","United States of America",-7,4.4,47.419,-88.01,0,0,0,0,0,0,4.8,7.8,0,0,1.2,0,0,0,0.6,0,0,0,0,0,0,0,0,2.4,0,50.3,0,0,0,9,0,0,0,1.2,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","JLA25","Jake Lake","United States of America",-7,4.15,62.43,-150.704,0.7,0,0,0,0,0,0,0,26.7,0,7.3,0,0,0,0,0,0,0,10,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,2,0,22,5.3,22.7,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","SR11","South Rhody","United States of America",-6.7,4.53,46.565,-86.075,0,2,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0
"Booth 2008","SR12","South Rhody","United States of America",-6.7,4.51,46.565,-86.075,0,26.6,0,0,0,0,0,1.3,1.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,11.4,0,0,0,0,0,0,0,0,0
"Booth 2002","IBEW152:14.1","Independence","United States of America",-6,4.3,47.419,-88.01,0,0,0,0,0.5,0,0,2,0,0,9.4,0,0,0,3,0,0,0,0,0,0,0,0,3.5,0,44.6,0,0,0,26.2,0,0,0,0,0,0,0,0.5,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK76","Gate Creek","United States of America",-6,3.68,62.333,-150.545,0,9.3,0,0,0,0,0,0.7,32.7,0,4,0.7,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,2,0,2.7,0,0,0,2,0,8.7,0,10,0,0,0,0,0,0,0,0,0.7,0,0,0,7.3,1.3,0,8.7,1.3,0.7,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK85","Brown's Lake","United States of America",-6,6.55,60.471,-150.728,0,0.7,0,0,0,0,0.7,0,0.7,0,4.3,0,0,8.5,8.5,1.4,0.7,0,46.1,1.4,0,0.7,0,0,1.4,0,0,0,0.7,0,0,0,0,0,0,14.9,0.7,1.4,0,0,1.4,0.7,0.7,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,2.8,0,0
"Sullivan and Booth 2011","TA36","Tannersville","United States of America",-6,4.33,41.037,-75.266,4.7,0,0,0,54,0,0,2.7,1.3,0,2.7,0,0,1.3,0,0,0,0,5.3,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,1.3,2.7,0,0,0,0.7,0,0.7,0.7,0,0,15.3,0,0,0,0,0,0,0,2,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Sullivan and Booth 2011","TA38","Tannersville","United States of America",-6,4.51,41.037,-75.266,0.6,0,0,0,85.8,0,0.6,1.2,0,0,1.2,0,0,0,0.6,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clifford (unpublished)","BB11-11","Burns","Canada",-6,3.6,49.123,-122.97,0,8.9,0,0,26.7,0,5,0,3,0,0,0,0,0,0,0,0,0,2,0,7.9,0,0,1,0,13.9,0,2,0,0,0,1,0,0,5.9,0,0,16.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
"Finkelstein/Bunbury unpublished","M23","Attawapiskat River 1","Canada",-6,6.02,52.845,-83.927,0,0,0,0,6.8,0,0,0,0,0,0,0,0,24.6,11.9,0,0,0,0.8,0,0,0.8,0,0,0,3.4,0,0,17.8,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,3.4,0,0.8,0,3.4,0,0,0,0,0,0,0.8,6.8,0,0,0,0,0
"Lamarre et al 2013","Plaine_13","Plaine","Canada",-6,4.09,50.27,-63.54,0,2.7,1.3,0,8,0,0,0,36.7,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,0.7,3.3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1.3,0,11.3,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,2,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK73","Gate Creek","United States of America",-5.5,4.06,62.333,-150.545,0,0,0.7,0,0,0,0,0,43.3,0,8,0.7,0,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,5.3,0,24.7,0.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","GF10-15","Gas field","United States of America",-5.5,4.31,60.445,-151.246,0,0,0,0,0,0,0,1.3,2,0.7,31.3,0,0.7,7.3,3.3,0,0,0,0.7,0,0,0.7,0,0,0,22.7,0,0,1.3,0,0,0,0,0,0,0,0.7,11.3,0,0,0.7,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2,0,3.3,3.3,0,0,0,0,0,0,0,0,0
"Booth 2008","AT02","Adams Trail","United States of America",-5.3,4.05,46.547,-86.06,0,0.7,0,0,2.2,0,0.7,2.2,12.2,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,10.1,0,4.3,0,0,0,0,0,0,0,0,1.4,2.9,0,0,0,2.9,0,1.4,0,20.9,0,0,0,0,5,0,0,0,0,0,0,0,17.3,0,0,0,10.8,2.2,0,0,0,0,0,0,0,0
"Booth 2008","HO12","Hornet","United States of America",-5,4.18,46.077,-92.12,0,2.7,0,1.4,13.5,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0
"Booth & Zygmunt 2005","ROB4","Robinson","United States of America",-5,4.47,44.167,-111.071,0,0,0,0,0.3,0,0,0.3,0,0,4.1,0,0,1.7,0,0,0,0,1.4,0,0,0,0,0.7,0,10.8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2.7,0,0,0,1,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,0,0,0,0,0,0
